feat_price,feat_ram,feat_memorieinternaflash,feat_capacitateacumulator,feat_camerafotoprincipala,feat_weight,feat_highrefreshrate,feat_marimedisplay,profile_budget_tier,profile_flagship_seeker,profile_social_media_heavy,profile_essential_budget,profile_photography_focus,profile_power_user,profile_gaming_mobile,profile_balanced_midrange,target_score
1.0638559924206537,0.6363636363636364,0.6487279843444227,0.17889908256880735,0.5,0.587155172413793,0.7389473684210527,0.7814341685649202,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8642923808838228
1.0638559924206537,0.6363636363636364,0.6487279843444227,0.17889908256880735,0.5,0.587155172413793,0.7389473684210527,0.7814341685649202,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8537507019587289
1.0638559924206537,0.6363636363636364,0.6487279843444227,0.17889908256880735,0.5,0.587155172413793,0.7389473684210527,0.7814341685649202,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8486835039056708
1.1247749881572715,0.3818181818181818,0.6487279843444227,0.22018348623853212,0.5,0.6167241379310344,0.4105263157894737,0.7993658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461582789786762
1.1247749881572715,0.3818181818181818,0.6487279843444227,0.22018348623853212,0.5,0.6167241379310344,0.4105263157894737,0.7993658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8526006413844914
1.1247749881572715,0.3818181818181818,0.6487279843444227,0.22018348623853212,0.5,0.6167241379310344,0.4105263157894737,0.7993658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848628982376541
1.021885362387494,0.6363636363636364,1.3,0.46788990825688076,0.5,0.34155172413793106,0.4105263157894737,0.7817658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8242141698878606
1.1599242065371862,0.3818181818181818,0.6487279843444227,0.20642201834862386,0.5,0.35,0.4105263157894737,0.7945658314350799,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846014761794337
1.1599242065371862,0.3818181818181818,0.6487279843444227,0.20642201834862386,0.5,0.35,0.4105263157894737,0.7945658314350799,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8236194041833189
1.1599242065371862,0.3818181818181818,0.6487279843444227,0.20642201834862386,0.5,0.35,0.4105263157894737,0.7945658314350799,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8467148282196905
1.161155850307911,0.12727272727272726,0.6487279843444227,0.20642201834862386,0.5,0.613103448275862,0.4105263157894737,0.7913658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8364990245201557
1.1054476551397443,0.6363636363636364,0.6487279843444227,0.17889908256880735,0.5,0.6106896551724137,0.4105263157894737,0.7817658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972465214885945
1.160871624822359,0.12727272727272726,0.6487279843444227,0.27522935779816515,0.5,0.5925862068965516,0.4105263157894737,0.7625658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8464307186547103
1.160871624822359,0.12727272727272726,0.6487279843444227,0.27522935779816515,0.5,0.5925862068965516,0.4105263157894737,0.7625658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8191438150045127
1.160871624822359,0.12727272727272726,0.6487279843444227,0.27522935779816515,0.5,0.5925862068965516,0.4105263157894737,0.7625658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844545002116206
1.125721459024159,0.3818181818181818,0.6487279843444227,0.27522935779816515,0.5,0.6034482758620688,0.4105263157894737,0.7993658314350798,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8582216165811527
