feat_price,feat_display_size,feat_refreshrate,feat_timpderaspuns,feat_brightness,feat_recomandatpentru,feat_tippanel,profile_budget_tier,profile_gamer_competitive,profile_creative_oled,profile_office_standard,profile_photo_video_editing,profile_budget_multimedia,profile_balanced_allround,target_score
1.191248332606121,0.2058823529411765,0.4909090909090909,1.0640426951300868,0.05131578947368421,1.4,1.0499999999999998,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8679791319596583
1.1858254067194414,0.27205882352941174,0.4909090909090909,1.0640426951300868,0.034210526315789476,1.4,1.0499999999999998,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.842576089806734
1.1934924889359844,0.2058823529411765,0.4909090909090909,1.0640426951300868,0.05131578947368421,1.4,1.0499999999999998,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8661503990316691
1.1936792993829084,0.15882352941176472,0.4909090909090909,1.0640426951300868,0.017105263157894738,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8432687394555266
1.1895653556068067,0.16911764705882354,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.0499999999999998,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8859957498004887
1.1870223773608426,0.2058823529411765,0.4909090909090909,1.0640426951300868,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8852945733987325
1.1215732718319515,0.2058823529411765,0.4909090909090909,1.1,0.08552631578947369,1.4,1.4,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.875214368859737
1.0917656922022065,0.5294117647058824,0.4909090909090909,1.0996330887258172,0.017105263157894738,1.4,1.4,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8719266270299906
1.1940532942716449,0.16911764705882354,0.4909090909090909,1.0640426951300868,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.9000026427412586
1.1940534812690893,0.16911764705882354,0.4909090909090909,1.0640426951300868,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8647726576061986
1.1910613351617527,0.1764705882352941,0.4909090909090909,1.0640426951300868,0.06842105263157895,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8416836958303808
1.1918093249392259,0.2058823529411765,0.4909090909090909,1.0640426951300868,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8743574333303028
1.1942404787134575,0.2058823529411765,0.4909090909090909,1.0640426951300868,0.017105263157894738,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.9071917553565958
1.1914355170479336,0.2058823529411765,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.0499999999999998,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8453911771169632
1.1802154833883938,0.15882352941176472,0.4909090909090909,1.0823882588392262,0.05131578947368421,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8589966603141588
1.1099046313033722,0.2058823529411765,0.4909090909090909,1.0996330887258172,0.2736842105263158,1.4,1.4,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8757682187881695
1.1858254067194414,0.2058823529411765,0.4909090909090909,1.0823882588392262,0.017105263157894738,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8670912205691963
1.186536184005485,0.2058823529411765,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8492741722637731
1.187396372249579,0.2058823529411765,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.891591147801389
1.1935298884248582,0.15882352941176472,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.9156869946148829
1.1938290843358474,0.15882352941176472,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8732901125916979
1.1956616592906564,0.15882352941176472,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.851784099941176
1.1895653556068067,0.15882352941176472,0.4909090909090909,1.089726484322882,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8392237339847737
1.1917347129589229,0.2058823529411765,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8754924072330901
1.192744312161067,0.2058823529411765,0.4909090909090909,1.0823882588392262,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.89268478208427
1.1903133453842798,0.16911764705882354,0.4909090909090909,1.089726484322882,0.034210526315789476,1.4,1.19,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.8802452352568161
