feat_price,feat_noise_canceling,feat_type,feat_microphone,profile_budget_tier,profile_audiophile_premium,profile_workout_wireless,profile_commute_anc,profile_budget_wireless,profile_calls_voip,profile_gaming_headset,target_score
1.160633706822925,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8317174941581073
1.164020565494539,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.839122873715319
1.1647060819791744,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8278804460291722
1.1647060819791744,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.7790566939672259
1.1647060819791744,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8147981991359061
1.1660635403645907,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.7952915618709966
1.1674142114580799,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8148501681659327
1.167420998750007,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8385048636748864
1.167420998750007,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.825007795669708
1.167420998750007,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8418665962801573
1.1699526586388085,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8266706146785386
1.1706517497072981,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.7941260362460698
1.1728508322916724,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.7704841011522484
1.1734006029377662,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8240793380783589
1.1742015033851618,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8171190822116392
1.1755657490625053,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.802360257661813
1.1769232074479217,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.7883856930392966
1.1769232074479217,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8077033737628699
1.178280665833338,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8190074739179022
1.1816878863807332,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.8374675147023386
1.1837104993750034,0.55,0.55,1.5,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.828666187578052
