_product_name,_profile,_price,target_score
"Laptop Lenovo Gaming 16'' Legion 7 16IAX10, WQXGA OLED 240Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 32GB DDR5 CSODIMM, 2x 1TB SSD, GeForce RTX 5070 8GB, No OS, Glacier White, 3Yr Onsite Premium Care",gamer_entry_budget_constrained,11698.99,0.7573620578846578
"Laptop MSI Gaming 15.6'' Katana 15 HX B14WFK, QHD 165Hz, Procesor Intel® Core™ i7 14650HX (30M Cache, up to 5.20 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 5060 8GB, Free DOS, Black",gamer_entry_budget_constrained,6398.99,0.7458533612942811
"Laptop Lenovo Gaming 16'' Legion 7 16IAX10, WQXGA OLED 240Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5070 8GB, No OS, Glacier White, 3Yr Onsite Premium Care",gamer_entry_budget_constrained,11498.99,0.7621884576082172
"Laptop ASUS Gaming 16'' ROG Strix G16 G615LH, 2.5K 240Hz, Procesor Intel® Core™ Ultra 7 255HX (30M Cache, up to 5.20 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5050 8GB, No OS, Eclipse Gray",gamer_entry_budget_constrained,10068.79,0.7802274834839534
"Laptop Lenovo Gaming 16'' Legion Pro 5 16ADR10, WQXGA IPS 240Hz, Procesor AMD Ryzen™ 9 8940HX (64M Cache, up to 5.30 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 5060 8GB, No OS, Eclipse Black, 3Yr Onsite Premium Care",gamer_entry_budget_constrained,7798.99,0.7463472452693372
"Laptop Alienware Gaming 18'' Area-51 AA18250, WQXGA 300Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 64GB DDR5, 2TB SSD, GeForce RTX 5070 Ti 12GB, Win 11 Pro, 3Yr",gamer_entry_budget_constrained,24132.29,0.7467049820834645
"Laptop Lenovo Gaming 16'' Legion 7 16IAX10, WQXGA OLED 240Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 32GB DDR5 CSODIMM, 1TB SSD, GeForce RTX 5070 8GB, No OS, Glacier White, 3Yr Onsite Premium Care",gamer_entry_budget_constrained,11198.99,0.7836355936642067
"Laptop ASUS Gaming 16'' ROG Zephyrus G16 OLED GU605CR, 2.5K 240Hz G-Sync, Procesor Intel® Core™ Ultra 9 285H (24M Cache, up to 5.40 GHz), 64GB LPDDR5X, 1TB SSD, GeForce RTX 5070 Ti 12GB, No OS, Eclipse Gray",gamer_entry_budget_constrained,18998.99,0.7677049259635997
"Laptop ASUS Gaming 18'' ROG Strix G18 G815JMR, 2.5K 240Hz, Procesor Intel® Core™ i9 14900HX (36M Cache, up to 5.80 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5060 8GB, No OS, Eclipse Gray",gamer_entry_budget_constrained,10198.99,0.7430629649334874
"Laptop Lenovo Gaming 16'' Legion Pro 7 16AFR10H, WQXGA OLED 240Hz, Procesor AMD Ryzen™ 9 9955HX (64M Cache, up to 5.4 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5070 Ti 12GB, No OS, Eclipse Black",gamer_entry_budget_constrained,14994.94,0.763331521119675
"Laptop ASUS Gaming 16'' ROG Strix G16 G615LM, 2.5K 240Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5060 8GB, No OS, Eclipse Gray",gamer_entry_budget_constrained,10696.88,0.7435160759104547
"Laptop Acer Gaming 18'' Predator Helios 18 AI PH18-73, WQUXGA Mini LED 120Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 64GB DDR5, 2x 1TB SSD, GeForce RTX 5090 24GB, No OS, Abyssal Black",gamer_entry_budget_constrained,24767.61,0.7449008555686895
"Laptop ASUS Gaming 16'' ROG Strix G16 G615LR, 2.5K 240Hz, Procesor Intel® Core™ Ultra 7 255HX (30M Cache, up to 5.20 GHz), 32GB DDR5, 2TB SSD, GeForce RTX 5070 Ti 12GB, No OS, Volt Green",gamer_entry_budget_constrained,14998.99,0.7601122902555152
"Laptop Acer Gaming 16'' Predator Helios Neo 16S AI PHN16S-71, WQXGA OLED 240Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5070 8GB, No OS, Abyssal Black",gamer_entry_budget_constrained,10598.99,0.7175815863032206
"Laptop ASUS Gaming 18'' ROG Strix G18 G815LR, 2.5K 240Hz, Procesor Intel® Core™ Ultra 7 255HX (30M Cache, up to 5.20 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5070 Ti 12GB, No OS, Eclipse Gray",gamer_entry_budget_constrained,13698.99,0.7222992862629409
"Laptop Lenovo Gaming 16'' Legion 7 16IAX10, WQXGA OLED 240Hz, Procesor Intel® Core™ Ultra 7 255HX (30M Cache, up to 5.20 GHz), 32GB DDR5 CSODIMM, 1TB SSD, GeForce RTX 5060 8GB, No OS, Glacier White, 3Yr Onsite Premium Care",gamer_entry_budget_constrained,9698.99,0.7459742625060098
"Laptop Acer Gaming 16'' Predator Helios Neo 16 AI PHN16-73, WQXGA IPS 240Hz, Procesor Intel® Core™ Ultra 7 255HX (30M Cache, up to 5.20 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5070 8GB, No OS, Abyssal Black",gamer_entry_budget_constrained,9148.99,0.7378398732106239
"Laptop ASUS Gaming 18'' ROG Strix G18 G815LR, 2.5K 240Hz, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5070 Ti 12GB, No OS, Eclipse Gray",gamer_entry_budget_constrained,14498.99,0.7644860983466666
